Series_reference,Period,Data_value,Suppressed,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
BDCQ.SEC2AIA,2015.12,2.592.644.735,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,55-59,Actual,,
BDCQ.SEC2AIA,2016.03,254.757.438,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,55-59,Actual,,
BDCQ.SEC2AIA,2016.06,2.612.069.699,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,55-59,Actual,,
BDCQ.SEC2AIA,2016.09,2.667.282.201,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,55-59,Actual,,
BDCQ.SEC2AIA,2016.12,27.789.914,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,55-59,Actual,,
BDCQ.SEC2AIA,2017.03,2.682.516.713,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,55-59,Actual,,
BDCQ.SEC2AIA,2017.06,2.810.686.865,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,55-59,Actual,,
BDCQ.SEC2AIA,2017.09,2.860.572.809,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,55-59,Actual,,
BDCQ.SEC2AIA,2017.12,2.997.515.274,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,55-59,Actual,,
BDCQ.SEC2AIA,2018.03,286.961.797,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,55-59,Actual,,
BDCQ.SEC2AIA,2018.06,3.014.132.989,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,55-59,Actual,,
BDCQ.SEC2AIA,2018.09,307.212.711,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,55-59,Actual,,
BDCQ.SEC2AIA,2018.12,3.241.999.671,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,55-59,Actual,,
BDCQ.SEC2AIA,2019.03,3.006.365.341,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,55-59,Actual,,
BDCQ.SEC2AIA,2019.06,319.375.415,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,55-59,Actual,,
BDCQ.SEC2AIA,2019.09,3.235.583.853,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,55-59,Actual,,
BDCQ.SEC2AIA,2019.12,3.474.410.725,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,55-59,Actual,,
BDCQ.SEC2AIA,2020.03,3.168.531.482,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,55-59,Actual,,
BDCQ.SEC2AIA,2020.06,3.211.715.694,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,55-59,Actual,,
BDCQ.SEC2AIA,2020.09,3.425.911.738,,R,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,55-59,Actual,,
BDCQ.SEC2AIA,2020.12,3.429.199.635,,R,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,55-59,Actual,,
BDCQ.SEC2AIA,2021.03,3.435.965.574,,R,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,55-59,Actual,,
BDCQ.SEC2AIA,2021.06,3.489.167.386,,R,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,55-59,Actual,,
BDCQ.SEC2AIA,2021.09,3.560.262.125,,R,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,55-59,Actual,,
BDCQ.SEC2AIA,2021.12,3.712.614.066,,R,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,55-59,Actual,,
BDCQ.SEC2AIA,2022.03,3.631.492.264,,R,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,55-59,Actual,,
BDCQ.SEC2AIA,2022.06,3.753.867.134,,R,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,55-59,Actual,,
BDCQ.SEC2AIA,2022.09,3.820.082.049,,R,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,55-59,Actual,,
BDCQ.SEC2AIA,2022.12,3.921.575.893,,R,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,55-59,Actual,,
BDCQ.SEC2AIA,2023.03,3.862.445.115,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,55-59,Actual,,
BDCQ.SEC2AIA,2023.06,3.986.806.315,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,55-59,Actual,,
BDCQ.SEC2AIA,2023.09,409.151.879,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,55-59,Actual,,
BDCQ.SEC2AIA,2023.12,4.222.687.404,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,55-59,Actual,,
BDCQ.SEC2AJA,2011.06,1.317.709.088,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,60-64,Actual,,
BDCQ.SEC2AJA,2011.09,1.329.510.206,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,60-64,Actual,,
BDCQ.SEC2AJA,2011.12,1.413.223.703,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,60-64,Actual,,
BDCQ.SEC2AJA,2012.03,1.339.872.582,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,60-64,Actual,,
BDCQ.SEC2AJA,2012.06,1.411.133.206,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,60-64,Actual,,
BDCQ.SEC2AJA,2012.09,1.406.774.479,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,60-64,Actual,,
BDCQ.SEC2AJA,2012.12,1.494.658.464,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,60-64,Actual,,
BDCQ.SEC2AJA,2013.03,1.402.236.281,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,60-64,Actual,,
BDCQ.SEC2AJA,2013.06,1.477.666.022,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,60-64,Actual,,
BDCQ.SEC2AJA,2013.09,1.473.555.245,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,60-64,Actual,,
BDCQ.SEC2AJA,2013.12,1.581.206.427,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,60-64,Actual,,
BDCQ.SEC2AJA,2014.03,1.458.138.737,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,60-64,Actual,,
BDCQ.SEC2AJA,2014.06,1.559.069.302,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,60-64,Actual,,
BDCQ.SEC2AJA,2014.09,1.589.354.976,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,60-64,Actual,,
BDCQ.SEC2AJA,2014.12,1.676.145.442,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,60-64,Actual,,
BDCQ.SEC2AJA,2015.03,1.548.156.792,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,60-64,Actual,,
BDCQ.SEC2AJA,2015.06,1.644.987.735,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,60-64,Actual,,
BDCQ.SEC2AJA,2015.09,1.708.772.206,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,60-64,Actual,,
BDCQ.SEC2AJA,2015.12,1.732.128.484,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,60-64,Actual,,
BDCQ.SEC2AJA,2016.03,1.702.662.955,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,60-64,Actual,,
BDCQ.SEC2AJA,2016.06,1.739.247.265,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,60-64,Actual,,
BDCQ.SEC2AJA,2016.09,1.765.781.471,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,60-64,Actual,,
BDCQ.SEC2AJA,2016.12,1.846.484.102,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,60-64,Actual,,
BDCQ.SEC2AJA,2017.03,1.776.915.894,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,60-64,Actual,,
BDCQ.SEC2AJA,2017.06,186.438.681,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,60-64,Actual,,
BDCQ.SEC2AJA,2017.09,1.895.553.941,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,60-64,Actual,,
BDCQ.SEC2AJA,2017.12,2.006.185.031,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,60-64,Actual,,
BDCQ.SEC2AJA,2018.03,1.915.744.027,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,60-64,Actual,,
BDCQ.SEC2AJA,2018.06,2.015.465.321,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,60-64,Actual,,
BDCQ.SEC2AJA,2018.09,2.053.114.617,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,60-64,Actual,,
BDCQ.SEC2AJA,2018.12,2.197.886.345,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,60-64,Actual,,
BDCQ.SEC2AJA,2019.03,2.035.610.877,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,60-64,Actual,,
BDCQ.SEC2AJA,2019.06,2.185.820.711,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,60-64,Actual,,
BDCQ.SEC2AJA,2019.09,2.220.420.911,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,60-64,Actual,,
BDCQ.SEC2AJA,2019.12,2.424.213.685,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,60-64,Actual,,
BDCQ.SEC2AJA,2020.03,2.218.940.449,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,60-64,Actual,,
BDCQ.SEC2AJA,2020.06,2.280.213.987,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,60-64,Actual,,
BDCQ.SEC2AJA,2020.09,2.443.113.062,,R,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,60-64,Actual,,
BDCQ.SEC2AJA,2020.12,2.477.564.467,,R,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,60-64,Actual,,
BDCQ.SEC2AJA,2021.03,2.450.208.826,,R,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,60-64,Actual,,
BDCQ.SEC2AJA,2021.06,2.554.965.457,,R,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,60-64,Actual,,
BDCQ.SEC2AJA,2021.09,2.605.657.355,,R,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,60-64,Actual,,
BDCQ.SEC2AJA,2021.12,2.777.189.986,,R,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,60-64,Actual,,
BDCQ.SEC2AJA,2022.03,2.718.985.883,,R,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,60-64,Actual,,
BDCQ.SEC2AJA,2022.06,2.844.148.614,,R,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,60-64,Actual,,
BDCQ.SEC2AJA,2022.09,2.910.794.995,,R,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,60-64,Actual,,
BDCQ.SEC2AJA,2022.12,3.031.575.248,,R,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,60-64,Actual,,
BDCQ.SEC2AJA,2023.03,302.149.268,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,60-64,Actual,,
BDCQ.SEC2AJA,2023.06,3.139.392.311,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,60-64,Actual,,
BDCQ.SEC2AJA,2023.09,3.250.936.091,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,60-64,Actual,,
BDCQ.SEC2AJA,2023.12,3.386.345.634,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,60-64,Actual,,
BDCQ.SEC2AKA,2011.06,55.561.105,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,65 +,Actual,,
BDCQ.SEC2AKA,2011.09,568.477.978,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,65 +,Actual,,
BDCQ.SEC2AKA,2011.12,638.770.029,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,65 +,Actual,,
BDCQ.SEC2AKA,2012.03,605.212.279,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,65 +,Actual,,
BDCQ.SEC2AKA,2012.06,656.974.829,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,65 +,Actual,,
